GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
xlbean,org.xlbean.definition,BeanDefinitionLoader.BeanDefinitionLoaderContext,0,61,0,4,0,15,0,8,0,6
xlbean,org.xlbean.definition,DefinitionRepository,43,117,3,11,8,35,4,14,1,10
xlbean,org.xlbean.definition,BeanDefinitionLoader,15,239,6,14,4,60,5,15,0,10
xlbean,org.xlbean.definition,ExcelCommentDefinitionLoader,20,141,4,12,3,30,4,12,0,8
xlbean,org.xlbean.definition,TableDefinitionResolver,2,152,1,1,1,22,1,6,0,6
xlbean,org.xlbean.definition,BeanDefinitionLoader.CellInfoGenerator,0,46,0,0,0,5,0,3,0,3
xlbean,org.xlbean.definition,SingleDefinition,21,54,8,8,3,12,9,6,1,6
xlbean,org.xlbean.definition,Definition,4,57,0,0,2,18,1,12,1,12
xlbean,org.xlbean.definition,DefinitionResolver,0,61,0,4,0,11,0,7,0,5
xlbean,org.xlbean.definition,DefinitionLoader,0,10,0,0,0,4,0,3,0,3
xlbean,org.xlbean.definition,ExcelCommentDefinitionLoader.new TableDefinitionResolver() {...},0,28,0,0,0,8,0,2,0,2
xlbean,org.xlbean.definition,ExcelR1C1DefinitionLoader,22,234,5,23,4,52,5,19,0,10
xlbean,org.xlbean.definition,TableDefinition,31,144,10,14,4,35,10,14,1,11
xlbean,org.xlbean.definition,SingleDefinitionResolver,2,29,1,1,1,9,1,3,0,3
xlbean,org.xlbean.excel,XlSheet.ValueType,0,58,0,0,0,2,0,4,0,4
xlbean,org.xlbean.excel,XlCellAddress,17,46,1,3,1,17,2,8,1,7
xlbean,org.xlbean.excel,XlSheet,129,436,29,57,28,105,27,44,4,24
xlbean,org.xlbean.excel,XlWorkbook,7,43,2,2,3,12,3,7,1,7
xlbean,org.xlbean.excel,XlCellAddress.Builder,0,28,0,0,0,9,0,4,0,4
xlbean,org.xlbean.data,TableDefinitionCacheAccessor,40,150,6,14,5,34,6,11,1,6
xlbean,org.xlbean.data,ExcelDataLoader,0,57,0,2,0,14,0,6,0,5
xlbean,org.xlbean.data,SingleValueLoader,0,40,1,1,0,9,1,3,0,3
xlbean,org.xlbean.data,ValueSaver,6,71,1,7,3,16,2,7,1,4
xlbean,org.xlbean.data,ExcelDataSaver,6,57,0,2,2,15,0,6,0,5
xlbean,org.xlbean.data,TableValueLoader,24,138,5,11,3,33,5,7,0,4
xlbean,org.xlbean.data,TableValueSaver,14,76,1,5,1,16,1,4,0,2
xlbean,org.xlbean.data,SingleValueSaver,0,31,0,0,0,5,0,2,0,2
xlbean,org.xlbean.data,ValueLoader,17,241,8,32,6,54,9,19,1,7
xlbean,org.xlbean.util,XlBeanFactory,3,18,0,0,2,5,1,5,1,5
xlbean,org.xlbean.util,Util,30,27,0,2,8,6,2,2,2,1
xlbean,org.xlbean.writer,XlBeanWriter,102,270,16,16,10,59,12,15,2,9
xlbean,org.xlbean,XlList,226,134,22,16,50,33,24,15,11,9
xlbean,org.xlbean,XlList.Index,7,59,1,1,2,14,2,5,1,5
xlbean,org.xlbean,XlBean,131,89,19,17,34,21,20,15,8,9
xlbean,org.xlbean.reader,XlBeanReader,44,68,7,5,3,18,6,6,1,5
xlbean,org.xlbean.converter,ValueConverter,80,224,19,31,35,32,19,11,0,5
xlbean,org.xlbean.converter,BeanConverter,93,358,15,37,27,86,14,22,2,8
